Galaxy,Rad_kpc,Vobs,errV,Vgas,Vdisk,Vbulge,Rad_meters,V_baryonic_sq,V_baryonic,Accel,Exponent,Nu,V_calculated
UGC03546,18.08,195.0,1.5,34.96,144.44,80.75,5.5794879999999993e+20,13818.600606,117.5525440218118,2.4766789723358137e-11,0.3682429674854855,3.246216147061545,211.797460836979
UGC03546,19.45,194.0,2.16,34.55,137.88,77.86,6.00227e+20,12727.316539999998,112.81540914254576,2.1204171988264436e-11,0.3407299129465637,3.463215240520789,209.94627077483494
UGC03546,20.92,192.0,6.21,33.63,131.28,75.07,6.455912e+20,11651.150817999998,107.94049665440677,1.804725779719426e-11,0.31434402825259095,3.7073802192985372,207.83466042678532
UGC03546,22.92,190.0,3.14,31.78,123.21,71.72,7.073112e+20,10359.22115,101.78025913702518,1.4645917030580035e-11,0.28317694228364687,4.054927564513749,204.95338833019767
UGC03546,25.02,191.0,14.6,29.63,116.76,68.65,7.721172e+20,9316.968146000001,96.52444325661766,1.2066779688368557e-11,0.25703679361813725,4.411889781806438,202.7447571720499
UGC03546,29.23,193.0,18.6,26.35,106.8,63.51,9.020378e+20,7796.6121459999995,88.29842663377417,8.643331960146237e-12,0.21754053874653767,5.11495846229602,199.6981403854894
UGC07603,0.34,19.6,2.89,4.29,19.73,0.0,1.04924e+19,197.469634,14.05238890722855,1.882025408867371e-11,0.32100540459309485,3.6419169688665196,26.817308047238093
UGC07603,0.68,32.5,2.89,6.17,28.0,0.0,2.09848e+19,398.7089,19.967696411954986,1.899989039685868e-11,0.3225337388907679,3.627282160758214,38.029326582330256
UGC07603,1.02,41.9,2.89,5.94,31.57,0.0,3.14772e+19,493.749454,22.2204737573257,1.5685939473650774e-11,0.293058869982812,3.9366703693057863,44.08774030751305
UGC07603,1.37,50.6,2.89,8.81,31.98,0.0,4.22782e+19,548.067484,23.41084116387107,1.296335898879328e-11,0.26641481833129876,4.275719981459422,48.40850227518914
UGC07603,1.71,57.0,2.89,15.21,31.44,0.0,5.27706e+19,686.041956,26.1924026389333,1.3000457754886243e-11,0.2667957612578046,4.270392134735674,54.12640920106448
UGC07603,2.05,60.5,2.89,17.87,29.65,0.0,6.326299999999999e+19,723.73325,26.90229079465167,1.1440071605835954e-11,0.25027298566574246,4.516471335502974,57.172724949711885
UGC07603,2.39,60.5,2.89,17.46,27.89,0.0,7.37554e+19,662.6635660000001,25.742252543241044,8.984610835274434e-12,0.22179371662226166,5.02716167669552,57.717561309687994
UGC07603,2.74,60.0,2.89,15.96,26.14,0.0,8.45564e+19,569.0394160000001,23.854547071784868,6.7297024944297546e-12,0.1919541632776542,5.725563396438209,57.0795169161423
UGC07603,3.08,61.5,2.89,15.55,24.58,0.0,9.50488e+19,519.7236439999999,22.7974481905322,5.467966392000739e-12,0.17302645959979124,6.293874559208785,57.19331622480797
UGC07603,3.42,61.5,2.89,16.29,23.19,0.0,1.055412e+20,512.741106,22.643787359891896,4.858208036292936e-12,0.16309387719813578,6.6450231580985895,58.371024691015
UGC07603,3.76,63.0,2.89,16.96,21.99,0.0,1.160336e+20,510.079246,22.584934049051373,4.395961566304933e-12,0.15514098575450022,6.958673174733395,59.577468611283216
UGC07603,4.11,64.0,2.89,17.21,20.84,0.0,1.2683460000000002e+20,495.96467600000005,22.27026438998873,3.910326330512337e-12,0.14632081260749386,7.346486799692358,60.36222283305757
UGC05716,1.03,39.15,4.06,3.65,21.66,0.0,3.17858e+19,229.134076,15.13717529792134,7.208693064198479e-12,0.19866797741063166,5.550068621702666,35.661041002338024
UGC05716,2.07,49.15,1.65,7.45,27.59,0.0,6.388019999999999e+19,405.658226,20.1409589146098,6.3502967429657395e-12,0.1864646941566589,5.87847526807118,48.8328971988211
UGC05716,3.09,55.05,0.6,11.19,26.88,0.0,9.53574e+19,457.58192399999996,21.391164624676236,4.798598997036413e-12,0.16209022782087643,6.6829049917167405,55.2989739870366
UGC05716,4.13,59.35,0.41,14.76,25.3,0.0,1.274518e+20,512.299,22.63402306263736,4.019550920426388e-12,0.14835028008327197,7.2531609033073465,60.9572561521879
UGC05716,5.16,63.85,0.46,18.24,24.0,0.0,1.592376e+20,597.6576,24.44703663023394,3.753244208654238e-12,0.1433517551898803,7.487789508313919,66.89644465025086
UGC05716,6.2,68.2,0.86,21.81,21.76,0.0,1.91332e+20,693.484996,26.33410328832178,3.624511299730312e-12,0.14087188705094933,7.610383874092757,72.64769115728097
UGC05716,7.23,71.7,1.07,25.2,19.92,0.0,2.231178e+20,817.570944,28.59319751269522,3.664301745535319e-12,0.1416430330731807,7.571800957814654,78.67963177888309
UGC05716,8.26,73.5,1.07,27.64,18.42,0.0,2.549036e+20,920.0459440000001,30.33225913116265,3.6093877999369167e-12,0.14057768145838895,7.625215665987176,83.75887263816749
UGC05716,9.28,73.15,1.0,28.96,17.21,0.0,2.8638079999999997e+20,974.926286,31.22380960100801,3.404300448912777e-12,0.1365254272299246,7.836016477162179,87.40445321100366
UGC05716,10.34,72.5,0.74,29.43,16.16,0.0,3.190924e+20,986.251876,31.40464736308943,3.0908034036536124e-12,0.13008741809466642,8.197976061848758,89.91812537192615
UGC05716,11.4,73.0,1.07,28.96,15.29,0.0,3.51804e+20,946.2222859999999,30.760726356833644,2.6896291287194003e-12,0.12135168275964628,8.750622175554296,90.99469060816284
